Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel
26.09.2017,Corso 4,4,N1,14:45,14:58,15:51,16:03,16:37,16:50,2D,BULLYPARADE - DER FILM,6,00:44,17:45,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
26.09.2017,Corso 7,7,N1,14:45,15:01,15:54,16:06,16:35,16:44,3D,"ICH - EINFACH UNVERBESSERLICH 3 ",6,00:50,17:45,2D,HEREINSPAZIERT!
26.09.2017,Corso 8,8,N2,17:00,17:14,18:02,18:14,19:15,19:19,2D,BABY DRIVER,16,00:45,20:15,2D,KILLER'S BODYGUARD
26.09.2017,Corso 2,2,N2,17:00,17:16,17:47,17:59,19:00,19:10,3D,"THE LEGO NINJAGO MOVIE ",6,00:39,20:00,2D,BARRY SEAL: ONLY IN AMERICA
26.09.2017,Corso 3,3,N2,17:15,17:30,18:32,18:44,19:57,20:03,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:16,20:30,2D,KINGSMAN: THE GOLDEN CIRCLE
26.09.2017,Corso 5,5,N2,17:15,17:34,18:15,18:27,19:32,19:41,2D,BARRY SEAL: ONLY IN AMERICA,12,00:08,20:00,3D,"THE LEGO NINJAGO MOVIE "
26.09.2017,Corso 6,6,N2,17:30,17:46,18:39,18:51,19:42,19:48,2D,ANNABELLE 2,16,00:46,20:45,2D,ANNABELLE 2
26.09.2017,Corso 1,1,N2,17:30,17:44,18:32,18:45,19:45,19:49,2D,BABY DRIVER,16,00:15,20:15,2D,THE CIRCLE
26.09.2017,Corso 7,7,N2,17:45,18:00,18:49,19:01,19:40,19:45,2D,HEREINSPAZIERT!,6,00:34,20:30,2D,LOGAN LUCKY
26.09.2017,Corso 4,4,N2,17:45,18:01,18:43,18:56,19:46,19:54,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:41,20:45,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
26.09.2017,Corso 5,5,HV,20:00,20:18,20:50,21:02,22:03,22:12,3D,"THE LEGO NINJAGO MOVIE ",6,,,,
26.09.2017,Corso 2,2,HV,20:00,20:22,21:03,21:15,22:20,22:30,2D,BARRY SEAL: ONLY IN AMERICA,12,,,,
26.09.2017,Corso 1,1,HV,20:15,20:32,21:13,21:25,22:25,22:34,2D,THE CIRCLE,12,,,,
26.09.2017,Corso 8,8,HV,20:15,20:32,21:09,21:21,22:36,22:43,2D,KILLER'S BODYGUARD,16,,,,
