Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel
14.10.2017,Gotthard 6,6,HV,20:00,20:16,20:56,21:08,22:02,22:06,2D,FLITZER,12,00:43,23:00,2D,KINGSMAN: THE GOLDEN CIRCLE
14.10.2017,Gotthard 2,2,HV,20:15,20:36,21:39,21:51,22:56,23:03,2D,ES,16,00:16,23:30,2D,ES
14.10.2017,Gotthard 8,8,HV,20:15,20:34,21:24,21:36,23:01,23:07,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:27,23:45,2D,FLITZER
14.10.2017,Gotthard 4,4,HV,20:30,20:49,21:33,21:45,22:40,22:50,2D,BORG/MCENROE,6,00:14,23:15,2D,BORG/MCENROE
14.10.2017,Gotthard 7,7,HV,20:30,20:49,21:30,21:42,22:47,22:57,2D,BARRY SEAL: ONLY IN AMERICA,12,00:22,23:30,2D,BARRY SEAL: ONLY IN AMERICA
14.10.2017,Gotthard 3,3,HV,20:45,21:07,21:47,21:59,23:02,23:11,2D,AMERICAN ASSASSIN,16,00:23,23:45,2D,AMERICAN ASSASSIN
14.10.2017,Gotthard 1,1,SV,22:45,23:02,,,01:35,01:46,3D,"BLADE RUNNER 2049 ",14,,,,
14.10.2017,Gotthard 6,6,SV,23:00,23:19,,,01:34,01:41,2D,KINGSMAN: THE GOLDEN CIRCLE,16,,,,
14.10.2017,Gotthard 4,4,SV,23:15,23:34,,,01:13,01:23,2D,BORG/MCENROE,6,,,,
14.10.2017,Gotthard 5,5,SV,23:30,23:46,,,01:30,01:37,2D,ANNABELLE 2,16,,,,
14.10.2017,Gotthard 2,2,SV,23:30,23:51,,,01:59,02:06,2D,ES,16,,,,
14.10.2017,Gotthard 7,7,SV,23:30,23:49,,,01:35,01:45,2D,BARRY SEAL: ONLY IN AMERICA,12,,,,
14.10.2017,Gotthard 3,3,SV,23:45,00:07,,,01:51,01:59,2D,AMERICAN ASSASSIN,16,,,,
14.10.2017,Gotthard 8,8,SV,23:45,00:00,,,01:35,01:38,2D,FLITZER,12,,,,

15.10.2017,Gotthard 6,6,N1,14:00,14:15,14:54,15:06,15:55,16:00,3D,"BIGFOOT JUNIOR ",6,01:05,17:15,2D,FLITZER
15.10.2017,Gotthard 2,2,N1,14:00,14:16,15:19,15:31,16:09,16:17,3D,"CARS 3 - EVOLUTION ",6,00:32,17:00,2D,ES
15.10.2017,Gotthard 1,1,N1,14:15,14:30,15:05,15:17,16:05,16:13,3D,"EMOJI: DER FILM ",6,00:51,17:15,3D,"CARS 3 - EVOLUTION "
15.10.2017,Gotthard 8,8,N1,14:15,14:27,15:08,15:20,16:14,16:18,2D,FLITZER,12,00:31,17:00,2D,KINGSMAN: THE GOLDEN CIRCLE
15.10.2017,Gotthard 3,3,N1,14:30,14:45,15:42,15:54,16:29,16:38,2D,MY LITTLE PONY - DER FILM,4,00:41,17:30,2D,AMERICAN ASSASSIN
15.10.2017,Gotthard 7,7,N1,14:30,14:48,15:31,15:43,16:32,16:42,3D,"THE LEGO NINJAGO MOVIE ",6,00:37,17:30,2D,KILLER'S BODYGUARD
15.10.2017,Gotthard 4,4,N1,14:45,15:01,15:45,15:57,16:52,17:02,2D,BORG/MCENROE,6,00:17,17:30,2D,BORG/MCENROE
